,Date,Name,Symbol,Marketcap_in_dollar,Price_in_dollar,Circulating_supply_in_BTC,1hour_chg_per,24hour_chg_per,7day_chg_per
402,2021-01-17,Bitcoin,BTC,"$665,831,621,390.99","$35,791.28","18,603,181 BTC",-1.24%,-1.24%,-6.69%
403,2021-01-24,Bitcoin,BTC,"$600,888,568,009.50","$32,289.38","18,609,481 BTC",0.36%,0.36%,-9.78%
404,2021-01-31,Bitcoin,BTC,"$616,452,744,533.28","$33,114.36","18,615,875 BTC",0.49%,0.49%,2.55%
405,2021-02-07,Bitcoin,BTC,"$724,478,833,211.10","$38,903.44","18,622,487 BTC",0.36%,0.36%,17.48%
406,2021-02-14,Bitcoin,BTC,"$907,551,330,153.22","$48,717.29","18,628,937 BTC",-0.74%,-0.74%,25.23%
407,2021-02-21,Bitcoin,BTC,"$1,072,421,529,570.02","$57,539.94","18,637,862 BTC",0.25%,0.25%,18.11%
408,2021-02-28,Bitcoin,BTC,"$841,428,977,514.57","$45,137.77","18,641,350 BTC",-0.30%,-0.30%,-21.55%
409,2021-03-07,Bitcoin,BTC,"$954,880,954,584.64","$51,206.69","18,647,581 BTC",1.34%,1.34%,13.45%
410,2021-03-14,Bitcoin,BTC,"$1,106,226,132,524.59","$59,302.32","18,654,012 BTC",-1.55%,-1.55%,15.81%
411,2021-03-21,Bitcoin,BTC,"$1,073,480,856,312.03","$57,523.42","18,661,631 BTC",-0.46%,-0.46%,-3.00%
412,2021-03-28,Bitcoin,BTC,"$1,044,446,559,059.05","$55,950.75","18,667,250 BTC",0.34%,0.34%,-2.73%
413,2021-04-04,Bitcoin,BTC,"$1,097,232,660,348.16","$58,758.56","18,673,581 BTC",0.28%,0.28%,5.02%
414,2021-04-11,Bitcoin,BTC,"$1,124,635,848,775.45","$60,204.96","18,680,118 BTC",0.01%,0.01%,2.46%
415,2021-04-18,Bitcoin,BTC,"$1,050,445,401,609.72","$56,216.19","18,685,818 BTC",-0.63%,-0.63%,-6.63%
416,2021-04-25,Bitcoin,BTC,"$915,955,943,256.31","$49,004.25","18,691,356 BTC",0.72%,0.72%,-12.83%
417,2021-05-02,Bitcoin,BTC,"$1,058,862,005,057.49","$56,631.08","18,697,543 BTC",0.31%,0.31%,15.56%
418,2021-05-09,Bitcoin,BTC,"$1,089,244,557,675.55","$58,232.32","18,705,156 BTC",0.52%,0.52%,2.83%
419,2021-05-16,Bitcoin,BTC,"$869,279,076,502.07","$46,456.06","18,711,856 BTC",1.77%,1.77%,-20.22%
420,2021-05-23,Bitcoin,BTC,"$650,686,270,744.27","$34,770.58","18,713,700 BTC",2.66%,2.66%,-25.15%
421,2021-05-30,Bitcoin,BTC,"$667,976,638,398.14","$35,678.13","18,722,300 BTC",-0.18%,-0.18%,2.61%
422,2021-06-06,Bitcoin,BTC,"$671,652,557,855.13","$35,862.38","18,728,612 BTC",0.74%,0.74%,0.52%
423,2021-06-13,Bitcoin,BTC,"$732,465,659,891.77","$39,097.86","18,734,162 BTC",0.61%,0.61%,9.02%
424,2021-06-20,Bitcoin,BTC,"$668,968,868,769.75","$35,698.30","18,739,518 BTC",-0.05%,-0.05%,-8.70%
425,2021-06-27,Bitcoin,BTC,"$649,461,677,014.11","$34,649.64","18,743,675 BTC",0.47%,0.47%,-2.94%
426,2021-07-04,Bitcoin,BTC,"$661,574,836,314.86","$35,287.78","18,747,987 BTC",-0.16%,-0.16%,1.84%
427,2021-07-11,Bitcoin,BTC,"$642,138,104,626.48","$34,240.19","18,753,931 BTC",-0.42%,-0.42%,-2.97%
428,2021-07-18,Bitcoin,BTC,"$596,513,309,276.77","$31,796.81","18,760,162 BTC",0.67%,0.67%,-7.14%
429,2021-07-25,Bitcoin,BTC,"$663,401,935,102.72","$35,350.19","18,766,575 BTC",2.12%,2.12%,11.18%
430,2021-08-01,Bitcoin,BTC,"$750,472,428,208.37","$39,974.90","18,773,593 BTC",-0.81%,-0.81%,13.08%
431,2021-08-08,Bitcoin,BTC,"$822,545,074,286.18","$43,798.12","18,780,375 BTC",-1.04%,-1.04%,9.56%
432,2021-08-15,Bitcoin,BTC,"$883,882,942,187.64","$47,047.00","18,787,231 BTC",-0.37%,-0.37%,7.42%
433,2021-08-22,Bitcoin,BTC,"$926,961,622,395.31","$49,321.65","18,794,212 BTC",0.15%,0.15%,4.83%
434,2021-08-29,Bitcoin,BTC,"$918,057,300,166.44","$48,829.83","18,801,156 BTC",-0.66%,-0.66%,-1.00%
435,2021-09-05,Bitcoin,BTC,"$973,354,882,472.78","$51,753.41","18,807,550 BTC",-0.16%,-0.16%,5.99%
436,2021-09-12,Bitcoin,BTC,"$866,636,671,661.82","$46,063.27","18,814,050 BTC",0.77%,0.77%,-10.99%
437,2021-09-19,Bitcoin,BTC,"$889,472,404,519.70","$47,260.22","18,820,743 BTC",0.37%,0.37%,2.60%
438,2021-09-26,Bitcoin,BTC,"$813,490,665,612.76","$43,208.54","18,827,081 BTC",0.41%,0.41%,-8.57%
439,2021-10-03,Bitcoin,BTC,"$907,791,525,235.93","$48,199.95","18,833,868 BTC",0.44%,0.44%,11.55%
440,2021-10-10,Bitcoin,BTC,"$1,031,909,532,688.09","$54,771.58","18,840,237 BTC",-0.33%,-0.33%,13.63%
441,2021-10-17,Bitcoin,BTC,"$1,160,143,314,184.57","$61,553.62","18,847,687 BTC",0.54%,0.54%,12.38%
442,2021-10-24,Bitcoin,BTC,"$1,148,743,134,467.63","$60,930.84","18,853,231 BTC",0.00%,0.00%,-1.01%
443,2021-10-31,Bitcoin,BTC,"$1,156,485,845,063.09","$61,318.96","18,860,168 BTC",-0.18%,-0.18%,0.64%
444,2021-11-07,Bitcoin,BTC,"$1,194,778,776,481.15","$63,326.99","18,866,818 BTC",0.66%,0.66%,3.27%
445,2021-11-14,Bitcoin,BTC,"$1,235,578,996,842.01","$65,466.84","18,873,356 BTC",1.49%,1.49%,3.38%
446,2021-11-21,Bitcoin,BTC,"$1,109,182,665,918.50","$58,730.48","18,885,981 BTC",-0.63%,-0.63%,-10.29%
447,2021-11-28,Bitcoin,BTC,"$1,081,180,416,261.97","$57,248.46","18,885,756 BTC",1.97%,1.97%,-2.52%
448,2021-12-05,Bitcoin,BTC,"$932,695,365,142.40","$49,368.85","18,892,387 BTC",0.25%,0.25%,-13.76%
449,2021-12-12,Bitcoin,BTC,"$946,823,114,554.82","$50,098.34","18,899,293 BTC",-0.22%,-0.22%,1.48%
450,2021-12-19,Bitcoin,BTC,"$883,011,296,029.51","$46,707.01","18,905,325 BTC",-1.48%,-1.48%,-6.77%
451,2021-12-26,Bitcoin,BTC,"$960,899,995,734.94","$50,809.52","18,911,812 BTC",-0.39%,-0.39%,8.78%
452,2022-01-02,Bitcoin,BTC,"$895,688,387,523.14","$47,345.22","18,918,243 BTC",0.12%,0.12%,-6.82%
453,2022-01-09,Bitcoin,BTC,"$793,156,354,743.99","$41,911.60","18,924,506 BTC",-0.70%,-0.70%,-11.48%
454,2022-01-16,Bitcoin,BTC,"$816,211,499,220.99","$43,113.88","18,931,525 BTC",-0.17%,-0.17%,2.87%
455,2022-01-23,Bitcoin,BTC,"$687,012,848,062.33","$36,276.80","18,938,075 BTC",2.27%,2.27%,-15.86%
456,2022-01-30,Bitcoin,BTC,"$718,325,967,803.38","$37,917.60","18,944,393 BTC",0.32%,0.32%,4.52%
457,2022-02-06,Bitcoin,BTC,"$803,744,511,638.35","$42,412.43","18,950,681 BTC",1.92%,1.92%,11.85%
458,2022-02-13,Bitcoin,BTC,"$799,950,408,997.28","$42,197.52","18,957,287 BTC",-0.34%,-0.34%,-0.51%
459,2022-02-20,Bitcoin,BTC,"$728,812,385,562.03","$38,431.38","18,963,993 BTC",-0.80%,-0.80%,-8.93%
460,2022-02-27,Bitcoin,BTC,"$715,351,995,827.54","$37,709.78","18,969,931 BTC",-0.14%,-0.14%,-1.88%
461,2022-03-06,Bitcoin,BTC,"$729,062,407,067.32","$38,419.98","18,976,125 BTC",-1.53%,-1.53%,1.88%
462,2022-03-13,Bitcoin,BTC,"$718,481,905,385.96","$37,849.66","18,982,518 BTC",0.07%,0.07%,-1.48%
463,2022-03-20,Bitcoin,BTC,"$783,260,570,383.75","$41,247.82","18,989,137 BTC",-0.19%,-0.19%,8.98%
464,2022-03-27,Bitcoin,BTC,"$889,385,706,663.30","$46,820.49","18,995,650 BTC",0.28%,0.28%,13.51%
465,2022-04-03,Bitcoin,BTC,"$882,703,992,270.52","$46,453.57","19,001,856 BTC",-0.82%,-0.82%,-0.78%
466,2022-04-10,Bitcoin,BTC,"$802,293,412,896.67","$42,207.67","19,008,237 BTC",0.19%,0.19%,-9.14%
467,2022-04-17,Bitcoin,BTC,"$755,201,997,822.58","$39,716.95","19,014,600 BTC",-0.84%,-0.84%,-5.90%
468,2022-04-24,Bitcoin,BTC,"$750,755,023,763.85","$39,469.29","19,021,243 BTC",-0.28%,-0.28%,-0.62%
469,2022-05-01,Bitcoin,BTC,"$731,986,764,311.88","$38,469.09","19,027,918 BTC",0.32%,0.32%,-2.53%
470,2022-05-08,Bitcoin,BTC,"$648,302,121,215.01","$34,059.26","19,034,531 BTC",-0.70%,-0.70%,-11.46%
471,2022-05-15,Bitcoin,BTC,"$596,074,575,228.33","$31,305.11","19,040,806 BTC",0.68%,0.68%,-8.09%
472,2022-05-22,Bitcoin,BTC,"$577,568,895,835.72","$30,323.72","19,046,768 BTC",0.18%,0.18%,-3.13%
473,2022-05-29,Bitcoin,BTC,"$561,034,743,433.25","$29,445.96","19,053,031 BTC",0.04%,0.04%,-2.89%
474,2022-06-05,Bitcoin,BTC,"$569,996,838,236.87","$29,906.66","19,059,193 BTC",-0.34%,-0.34%,1.56%
